model_id,lema,jawaban_model,kunci_hadir,sim_definisi,persentil_vs_lantai,sim_kunci_maks,peringkat_dalam_lema,vonis_penutur,latency_ms,biaya_usd,tokens_in,tokens_out
deepseek-v4-flash,Ngriki,"Ngriki artinya ""di sini"" atau ""ke sini"" dalam bahasa Indonesia.",1,0.4498,0.9854,0.7883,1,,1971,4.144e-05,32,132
deepseek-v4-flash,Pakunjaran,Pakunjaran berarti penjara atau lembaga pemasyarakatan.,1,0.4698,0.9879,0.7346,2,,2836,2.968e-05,32,90
deepseek-v4-flash,Pangrasan,"Pangrasan berarti ""perasaan"" dalam bahasa Indonesia.",1,0.4073,0.9764,0.9998,4,,5698,6.756344e-05,32,286
deepseek-v4-flash,Pecetan,Pecetan dalam bahasa Indonesia berarti sambal kacang (bumbu pecel).,0,0.3207,0.9296,0.4604,1,,3348,0.000123019,31,370
deepseek-v4-flash,Pimen,Bertanya atau menanyakan.,0,0.5116,0.9931,0.2724,1,,5549,6.9552e-05,31,295
deepseek-v4-flash,Sasmito,"Sasmito berarti isyarat, tanda, atau petunjuk yang tersirat (halus).",1,0.7198,0.9998,0.7928,1,,2843,2.707012e-05,32,105
deepseek-v4-flash,Sedelat,Sedelat artinya sebentar atau sesaat.,1,0.495,0.9914,0.6033,1,,3973,4.8516e-05,32,261
deepseek-v4-flash,Semribit,Semribit berarti remah-remah atau serpihan kecil.,0,0.2424,0.8174,0.1605,4,,6164,8.4448e-05,32,361
deepseek-v4-flash,Sirtu,"Sirtu artinya ""kamu"" atau ""engkau"" dalam bahasa Jawa ngoko (kasar/akrab).",0,0.0879,0.3286,0.0354,5,,11952,2.0076e-05,32,103
deepseek-v4-flash,sompret,"Arti kata ""sompret"" adalah terompet (alat musik tiup), tetapi sering juga digunakan sebagai umpatan kasar yang berarti ""bodoh"" atau ""sialan"".",1,0.717,0.9997,0.476,2,,7854,5.6148e-05,31,301
deepseek-v4-flash,Speleng,"Artinya ""melihat"" atau ""mengintip"".",0,0.1404,0.5236,0.1264,2,,4670,7.28e-05,32,244
deepseek-v4-flash,Urugan,Urugan artinya timbunan tanah atau material untuk meratakan/menimbun suatu lahan.,1,0.7596,0.9999,0.4912,2,,1962,3.244e-05,32,101
gemini-3.5-flash,Ageman,"Kata Jawa ""ageman"" berarti pakaian atau baju dalam ragam bahasa halus (krama inggil).",1,0.6861,0.9991,0.7298,3,1,2899,0.002859,22,314
gemini-3.5-flash,Anduweni,"Kata Jawa ""anduweni"" berarti **memiliki** atau **mempunyai** dalam bahasa Indonesia.",1,0.3463,0.9499,0.7437,2,1,2897,0.0027975,23,307
gemini-3.5-flash,Badogan,"Dalam bahasa Jawa kasar (ngoko kasar), kata **badogan** berarti makanan atau sesuatu untuk dimakan.",1,0.5147,0.9934,0.7026,1,1,3625,0.003084,22,339
gemini-3.5-flash,Biyayakan,"Kata ""biyayakan"" dalam bahasa Indonesia berarti banyak tingkah, pecicilan, atau tidak bisa diam.",1,0.3533,0.9544,0.6172,1,1,2652,0.0025995,23,285
gemini-3.5-flash,Biyuh,"Kata ""biyuh"" adalah kata seru dalam bahasa Jawa yang berarti ""aduh"", ""wah"", atau ""astaga"" untuk mengekspresikan rasa terkejut, heran, atau kagum.",1,0.8033,1.0,0.3612,1,1,3249,0.0026535,23,291
gemini-3.5-flash,Bladak,"Dalam bahasa Jawa, kata **""bladak""** berarti **lantai** atau **papan landasan** (sering juga digunakan untuk menggambarkan kondisi tidur di lantai tanpa alas/kasur).",0,0.0645,0.2467,0.111,2,0,5178,0.0046965,23,518
gemini-3.5-flash,Coeg,"Kata **""coeg""** adalah bahasa gaul Jawa (plesetan dari kata ""cuk"") yang digunakan sebagai panggilan akrab kepada teman, setara dengan kata ""bro"", ""sob"", atau ""guys"".",1,0.3013,0.9104,0.4766,4,1,4201,0.004083,22,450
gemini-3.5-flash,Dangak,"Kata ""dangak"" (atau *ndhangak*) dalam bahasa Jawa berarti **mendongak** atau **menengadah** (mengangkat kepala/melihat ke atas).",1,0.1905,0.6863,0.8659,4,1,3418,0.002895,22,318
gemini-3.5-flash,Gakpati,"Kata ""gakpati"" (atau ""gak pati"") dalam bahasa Indonesia berarti **""tidak begitu""** atau **""tidak terlalu""**.",1,0.4369,0.9836,0.9031,2,1,3213,0.0030225,23,332
gemini-3.5-flash,Geluduk,"Kata ""geluduk"" dalam bahasa Jawa berarti guntur atau guruh dalam bahasa Indonesia.",1,0.0687,0.2586,0.696,5,1,2917,0.002481,22,272
gemini-3.5-flash,Gendakan,"Dalam bahasa Jawa, kata **""gendakan""** berarti selingkuhan atau kekasih gelap.",1,0.4961,0.9915,0.782,2,1,3055,0.0026085,23,286
gemini-3.5-flash,Gondes,**Gondes** (singkatan dari *gondrong ndeso*) adalah istilah gaul Jawa yang merujuk pada laki-laki berambut panjang dengan penampilan atau perilaku yang dianggap kampungan atau kurang modis.,1,0.4062,0.9762,0.0597,1,0,3628,0.003291,22,362
gemini-3.5-flash,Gremet,"Kata Jawa ""gremet"" berarti **merayap** atau **bergerak sangat lambat**.",1,0.6951,0.9993,0.6063,2,1,3155,0.0027075,23,297
gemini-3.5-flash,Kacariyos,"Kata Jawa **""kacariyos""** berarti **""diceritakan""** atau **""konon""** (dikisahkan) dalam bahasa Indonesia.",1,0.2763,0.8776,0.8666,3,1,3362,0.0030045,23,330
gemini-3.5-flash,Kaleh,"Kata ""kaleh"" (atau ""kalih"") dalam bahasa Jawa krama berarti **""dua""** atau bisa juga berarti **""dengan""** / **""dan""**.",1,0.5097,0.9928,0.6091,2,1,3532,0.002742,22,301
gemini-3.5-flash,Kemecer,**Kemecer** berarti merasa sangat tergiur atau ingin sekali mencicipi suatu makanan (biasanya yang asam atau pedas) hingga membuat air liur menetes (ngiler).,1,0.6314,0.9979,0.4518,1,1,3750,0.003354,22,369
gemini-3.5-flash,Kesawat,"Dalam bahasa Indonesia, kata Jawa ""kesawat"" berarti **terlempar** atau **terkena lemparan**.",1,0.7525,0.9999,0.5426,1,1,3656,0.003372,22,371
gemini-3.5-flash,Kesuen,"Kata ""kesuen"" dalam bahasa Indonesia berarti **terlalu lama** atau **kelamaan**.",1,0.6258,0.9978,0.8156,2,1,2757,0.002274,22,249
gemini-3.5-flash,Kreak,"Dalam bahasa Jawa, **kreak** adalah istilah gaul yang berarti berandalan, preman jalanan, atau pembuat onar yang sering meresahkan masyarakat.",1,0.5994,0.9973,0.3174,1,1,3877,0.003471,22,382
gemini-3.5-flash,Kupret,"Kata ""kupret"" adalah umpatan santai atau sebutan dalam bahasa pergaulan yang berarti orang yang menyebalkan, nakal, atau kurang ajar.",1,0.6304,0.9978,0.6063,2,1,3723,0.003534,22,389
gemini-3.5-flash,Leksanani,"Kata Jawa **""leksanani""** berarti melaksanakan, memenuhi, atau menepati (seperti janji atau kewajiban) dalam bahasa Indonesia.",1,0.4427,0.9842,0.6353,2,1,3609,0.00279,24,306
gemini-3.5-flash,Lidis,"Kata ""lidis"" dalam bahasa Jawa berarti habis sama sekali, ludes, atau tidak bersisa.",1,0.4067,0.9763,0.482,1,1,2920,0.002184,22,239
gemini-3.5-flash,Manahipun,"Kata **""manahipun""** dalam bahasa Jawa krama berarti **""hatinya""**, **""perasaannya""**, atau **""pikirannya""** dalam bahasa Indonesia.",1,0.1783,0.648,0.6924,1,1,3057,0.0024735,23,271
gemini-3.5-flash,Mleding,"Kata **""mleding""** dalam bahasa Jawa berarti menungging atau posisi tubuh dengan pantat yang menonjol ke belakang atau ke atas.",1,0.6699,0.9987,0.5063,1,1,3188,0.002562,22,281
gemini-3.5-flash,Ndaut,**Ndaut** adalah kegiatan mencabut bibit padi dari lahan persemaian untuk bersiap ditanam kembali di area sawah yang lebih luas.,1,0.8284,1.0,0.468,1,1,2974,0.002022,22,221
gemini-3.5-flash,Ndlogok,"Kata **""ndlogok""** adalah umpatan kasar dalam bahasa Jawa yang biasanya digunakan untuk menyebut seseorang bodoh, kurang ajar, atau brengsek.",1,0.755,0.9999,0.7126,1,1,3847,0.0035445,23,390
gemini-3.5-flash,Ngeliwet,"**Ngeliwet** berarti memasak nasi, biasanya dengan cara tradisional menggunakan periuk atau kastrol.",1,0.7008,0.9994,0.8053,2,1,3457,0.0029415,23,323
gemini-3.5-flash,Ngleketer,"Kata **""ngleketer""** dalam bahasa Jawa berarti tergeletak lemas atau menggigil tidak berdaya, biasanya karena sakit, kedinginan, atau sangat kelelahan.",0,0.5823,0.9968,0.4139,1,0,3404,0.003123,24,343
gemini-3.5-flash,Ngriki,"Kata ""ngriki"" dalam bahasa Jawa (ragam krama/halus) berarti **""sini""** atau **""ke sini""** dalam bahasa Indonesia.",1,0.3758,0.9641,0.927,4,1,3242,0.0025005,23,274
gemini-3.5-flash,Pakunjaran,"Kata ""pakunjaran"" dalam bahasa Jawa berarti **penjara** atau **bui**.",1,0.4546,0.986,0.7844,3,1,2609,0.0018435,23,201
gemini-3.5-flash,Pangrasan,"Kata ""pangrasan"" dalam bahasa Jawa berarti **perasaan** atau **indra perasa** dalam bahasa Indonesia.",1,0.4555,0.9864,0.5085,2,1,4580,0.0030315,23,333
gemini-3.5-flash,Pecetan,"Kata Jawa ""pecetan"" berarti **tombol** atau **pencetan** dalam bahasa Indonesia.",0,0.1266,0.4767,0.1019,3,0,4687,0.004245,22,468
gemini-3.5-flash,Pimen,"Kata **""pimen""** dalam bahasa Jawa (khususnya dialek Banyumasan/Ngapak) berarti **""bagaimana""** dalam bahasa Indonesia.",1,0.3169,0.9266,0.9993,4,1,2576,0.002319,22,254
gemini-3.5-flash,Sasmito,"Kata ""Sasmito"" (atau *sasmita*) dalam bahasa Jawa berarti **isyarat, tanda, firasat,** atau **petunjuk**.",1,0.7076,0.9994,0.7993,2,1,3104,0.002436,22,267
gemini-3.5-flash,Sedelat,"Kata Jawa ""sedelat"" berarti **sebentar** atau **sekejap** dalam bahasa Indonesia.",1,0.379,0.9653,0.8012,4,1,3008,0.002121,22,232
gemini-3.5-flash,Semribit,"Kata **""semribit""** berarti hembusan angin sepoi-sepoi yang terasa sejuk atau dingin.",1,0.7873,1.0,0.7113,2,1,2941,0.0025545,23,280
gemini-3.5-flash,Sirtu,"**Sirtu** adalah singkatan dari ""pasir batu"", yaitu bahan bangunan berupa campuran pasir dan kerikil yang biasanya digunakan untuk pengurukan jalan atau fondasi.",1,0.8583,1.0,0.453,1,1,3584,0.0030135,23,331
gemini-3.5-flash,Speleng,"Kata **""speleng""** berarti kelonggaran, selisih, atau batas toleransi (baik berupa ruang, waktu, maupun jumlah).",1,0.151,0.561,0.7705,1,1,3934,0.003372,22,371
gemini-3.5-flash,Urugan,"**Urugan** berarti timbunan tanah, pasir, atau batu yang digunakan untuk meratakan, mengisi lubang, atau meninggikan permukaan tanah.",1,0.824,1.0,0.2936,1,1,3695,0.0033465,23,368
gemini-3.5-flash,dadi'ne,"Kata **""dadi'ne""** (atau *dadine*) dalam bahasa Indonesia berarti **""jadinya""**, **""akibatnya""**, atau **""oleh karena itu""**.",1,0.466,0.9879,0.5253,1,1,3486,0.003294,24,362
gemini-3.5-flash,klotekan,"**Klotekan** adalah aktivitas membuat bunyi-bunyian berirama dengan cara memukul-mukul benda di sekitar (seperti bambu, kayu, atau kaleng kosong) untuk menghasilkan musik sederhana.",1,0.3521,0.9539,0.4353,2,1,3735,0.0033105,23,364
gemini-3.5-flash,ndusel,"Kata **""ndusel""** dalam bahasa Indonesia berarti merapatkan tubuh atau menyusupkan kepala dengan manja ke tubuh orang lain untuk mencari kehangatan atau kenyamanan.",1,0.4891,0.9904,0.4761,1,1,4003,0.003066,22,337
gemini-3.5-flash,sompret,"""Sompret"" adalah kata umpatan atau ungkapan kekesalan dalam bahasa Jawa yang berarti ""sialan"" atau ""brengsek"".",1,0.7351,0.9999,0.5924,1,1,3815,0.003381,22,372
gemma-4-31b,Ageman,Ageman berarti pakaian atau busana.,1,,,,,,2543,8.5e-06,35,9
gemma-4-31b,Anduweni,**Anduweni** berarti memiliki atau mempunyai.,1,,,,,,1959,9.08e-06,36,11
gemma-4-31b,Badogan,**Badogan** berarti orang yang bekerja sebagai buruh kasar atau pekerja harian.,0,,,,,,1123,9.62e-06,35,18
gemma-4-31b,Biyayakan,**Biyayakan** berarti biaya atau pengeluaran uang.,0,,,,,,859,8e-06,36,14
gemma-4-31b,Biyuh,"**Biyuh** adalah kata seru (interjeksi) yang digunakan untuk mengekspresikan rasa terkejut, heran, atau kagum (mirip dengan kata ""Wah"" atau ""Astaga"").",1,,,,,,9735,2.0908e-05,36,46
gemma-4-31b,Bladak,"**Bladak** artinya berbicara apa adanya, terlalu jujur, atau blak-blakan tanpa basa-basi.",0,,,,,,1133,1.244e-05,36,26
gemma-4-31b,Coeg,"Kata ""coeg"" dalam bahasa Indonesia berarti cobek (alat untuk menghaluskan bumbu).",0,,,,,,10889,1.1538e-05,35,21
gemma-4-31b,dadi'ne,"**Dadi'ne** berarti ""jadikanlah"" atau ""buatlah menjadi"".",1,,,,,,983,1.016e-05,37,19
gemma-4-31b,Dangak,**Dangak** berarti menengadah atau melihat ke arah atas.,1,,,,,,2606,8.05e-06,35,15
gemma-4-31b,Gakpati,**Gakpati** berarti tidak mau atau tidak sudi.,0,,,,,,2583,7.78e-06,36,14
gemma-4-31b,Geluduk,Geluduk artinya suara guntur atau guruh.,1,,,,,,2978,6.65e-06,35,11
gemma-4-31b,Gendakan,**Gendakan** berarti barang hasil curian atau barang yang didapat dari hasil mencuri.,0,,,,,,1183,1.188e-05,36,21
gemma-4-31b,Gondes,"**Gondes** adalah istilah slang yang berarti seseorang yang terlihat lugu, polos, atau berperilaku seperti anak kecil (kekanak-kanakan).",0,,,,,,1460,1.403e-05,35,32
gemma-4-31b,Gremet,Gremet berarti bergerak perlahan atau merayap sedikit demi sedikit.,1,,,,,,1741,1.144e-05,36,16
gemma-4-31b,Kacariyos,**Kacariyos** berarti dikisahkan atau diceritakan.,1,,,,,,644,8.68e-06,36,16
gemma-4-31b,Kaleh,**Kaleh** berarti **dengan** atau **dan** (dalam tingkatan bahasa Jawa halus/Krama).,0,,,,,,3015,1.12e-05,35,24
gemma-4-31b,Kemecer,Kemecer artinya air liur yang keluar secara tidak sengaja karena melihat sesuatu yang sangat menggoda (biasanya makanan).,1,,,,,,1530,1.2e-05,35,25
gemma-4-31b,Kesawat,Kesawat berarti pesawat terbang.,0,,,,,,765,7.21e-06,35,7
gemma-4-31b,Kesuen,Kesuen berarti terlalu lama.,1,,,,,,462,1.33e-05,35,7
gemma-4-31b,klotekan,Klotekan adalah bunyi gemerincing atau suara benda keras yang saling berbenturan.,0,,,,,,3890,1.0918e-05,36,19
gemma-4-31b,Kreak,"**Kreak** adalah kata kasar dalam bahasa Jawa yang berarti orang yang berperilaku buruk, tidak tahu tata krama, atau berandalan.",1,,,,,,3915,1.73e-05,35,31
gemma-4-31b,Kupret,Kupret adalah kata umpatan atau seruan kekesalan yang biasanya digunakan untuk mengekspresikan rasa jengkel atau terkejut.,1,,,,,,5748,1.77e-05,35,32
gemma-4-31b,Leksanani,"Kata ""leksanani"" (dari kata dasar *laksana*) berarti melaksanakan, mengerjakan, atau menjalankan suatu perintah/tugas.",1,,,,,,2050,1.311e-05,37,29
gemma-4-31b,Lidis,Lidis berarti habis terjual atau habis sama sekali.,1,,,,,,1832,9.35e-06,35,12
gemma-4-31b,Manahipun,**Manahipun** berarti hatinya atau pikirannya (dalam ragam bahasa halus/Krama).,1,,,,,,13514,1.058e-05,36,22
gemma-4-31b,Mleding,*Mleding* berarti terlepas atau terlepasnya sesuatu dari tempatnya (biasanya benda yang terpasang atau tersangkut).,0,,,,,,1041,1.65e-05,35,29
gemma-4-31b,Ndaut,**Ndaut** berarti menarik atau menyentak (biasanya digunakan untuk menarik sesuatu dengan cepat atau kuat).,0,,,,,,6730,1.2278e-05,35,23
gemma-4-31b,Ndlogok,"**Ndlogok** berarti bodoh, tolol, atau bebal.",1,,,,,,1533,1.184e-05,36,17
gemma-4-31b,ndusel,*Ndusel* berarti menyandarkan atau membenamkan bagian tubuh (biasanya kepala) ke tubuh orang lain atau benda empuk untuk mencari kenyamanan.,1,,,,,,1383,1.747e-05,35,34
gemma-4-31b,Ngeliwet,Ngeliwet adalah kegiatan memasak nasi dengan bumbu tertentu dalam satu wadah (biasanya panci atau kastrol) untuk dimakan bersama-sama.,1,,,,,,1712,1.824e-05,36,33
gemma-4-31b,Ngleketer,"Ngleketer artinya gemetar atau menggigil (biasanya karena kedinginan, ketakutan, atau sakit).",0,,,,,,6958,1.254e-05,37,26
gemma-4-31b,Ngriki,"Ngriki artinya ""ke sini"" (dalam bentuk krama/halus).",1,,,,,,936,9.72e-06,36,18
gemma-4-31b,Pakunjaran,Pakunjaran berarti tempat pembuangan atau pengasingan.,0,,,,,,756,8e-06,36,14
gemma-4-31b,Pangrasan,Pangrasan berarti perasaan atau sesuatu yang dirasakan.,1,,,,,,7176,1.024e-05,36,13
gemma-4-31b,Pecetan,**Pecetan** berarti orang yang telah diberhentikan dari pekerjaannya atau dipecat.,0,,,,,,11162,1.064e-05,35,21
gemma-4-31b,Pimen,**Pimen** berarti **bagaimana** (bentuk tidak baku/dialek dari kata *piye* atau *pripun*).,1,,,,,,1913,1.5e-05,35,30
gemma-4-31b,Sasmito,"Sasmito berarti isyarat, pertanda, atau simbol.",1,,,,,,1218,1.049e-05,35,14
gemma-4-31b,Sedelat,**Sedelat** berarti sebentar atau sekejap.,1,,,,,,2029,9.75e-06,35,13
gemma-4-31b,Semribit,**Semribit** berarti angin yang bertiup sepoi-sepoi atau terasa sejuk.,1,,,,,,1001,1.384e-05,36,22
gemma-4-31b,Sirtu,Sirtu adalah singkatan dari pasir batu.,1,,,,,,2328,7.958e-06,36,11
gemma-4-31b,sompret,**Sompret** berarti terompet atau alat tiup yang mengeluarkan bunyi nyaring.,0,,,,,,2958,9.45e-06,35,19
gemma-4-31b,Speleng,"**Speleng** berarti meremehkan, menganggap enteng, atau tidak menganggap serius sesuatu.",0,,,,,,4556,1.41e-05,35,23
gemma-4-31b,Urugan,Urugan berarti tanah atau material (seperti pasir/batu) yang digunakan untuk menimbun atau mengurug lahan.,1,,,,,,1270,1.532e-05,36,28
glm-5.3-flash,Ageman,"**Ageman** artinya pakaian atau busana (berasal dari kata ""agem"" yang berarti mengenakan).",1,0.6188,0.9976,0.5776,4,,6207,4.09e-05,42,151
glm-5.3-flash,Anduweni,"""Anduweni"" artinya memiliki atau punya sesuatu.",1,0.3648,0.9604,0.5447,1,,6954,4.0475e-05,43,149
glm-5.3-flash,Badogan,"**Badogan** berarti orang yang bertingkah laku seperti anjing, yaitu orang yang bodoh dan tunduk/menghamba mematuhi orang lain secara memalukan.",0,0.2173,0.7616,0.0362,3,,15303,9.565e-05,42,370
glm-5.3-flash,Biyayakan,**Biyayakan** artinya membiayai atau mengeluarkan biaya untuk sesuatu.,0,0.216,0.7576,0.2215,2,,14710,6.905e-05,44,263
glm-5.3-flash,Biyuh,"**Biyuh** artinya hamil atau mengandung, biasanya digunakan untuk hewan yang bunting (misalnya pitik biyuh = ayam yang siap bertelur).",0,0.1992,0.7102,0.1039,4,,10872,7.5225e-05,43,288
glm-5.3-flash,Bladak,Bladak dalam bahasa Jawa berarti **pala** (buah rempah) dalam bahasa Indonesia.,0,0.034,0.1394,0.2362,4,,11990,5.2475e-05,43,197
glm-5.3-flash,Coeg,"**Coeg** adalah kata kasar dalam bahasa Jawa yang secara harfiah berarti kemaluan perempuan, tetapi sering dipakai sebagai seruan atau sapaan akrab di antara teman dekat (mirip ""bro"" atau ""cuy"").",1,0.5025,0.9917,0.3839,1,,17036,0.0001509,42,591
glm-5.3-flash,dadi'ne,"""Dadi'ne"" berarti ""jadi"" atau ""hasilnya"" dalam bahasa Indonesia.",1,0.2761,0.8776,0.396,4,,9488,6.78e-05,44,258
glm-5.3-flash,Dangak,"Dangak dalam bahasa Jawa berarti burung pelatuk, yaitu burung yang biasa mematuk batang kayu untuk mencari serangga.",0,0.2763,0.8776,0.0568,3,,6337,0.00012395,43,235
glm-5.3-flash,Gakpati,**Gakpati** berarti tergagap-gagap atau terbata-bata saat berbicara.,0,0.2464,0.8267,0.0698,4,,47340,0.00203795,43,4063
glm-5.3-flash,Geluduk,"Geluduk adalah jajanan tradisional Jawa berbentuk potongan kecil yang terbuat dari tepung beras dan santan, biasanya berwarna merah muda dengan tekstur kenyal.",0,0.1351,0.5066,0.1137,3,,14760,0.000112725,43,438
glm-5.3-flash,Gendakan,"**Gendakan** artinya gendongan atau digendong, yaitu membawa anak dengan cara diletakkan di pinggang/pangkuan.",0,0.2391,0.811,0.1263,4,,6353,0.00035795,43,703
glm-5.3-flash,Gondes,**Gondes** berarti gemuk dalam bahasa Indonesia.,0,0.0899,0.3369,0.1513,5,,5064,7.845e-05,43,144
glm-5.3-flash,Gremet,"**Gremet** berarti merasa tidak enak hati, canggung, atau risih (tidak nyaman).",0,0.2906,0.8957,0.2255,4,,9041,9.3725e-05,43,362
glm-5.3-flash,Kacariyos,"Kacariyos berarti ""diceritakan"" dalam bahasa Indonesia.",1,0.3216,0.9301,0.9998,2,,5341,4.18e-05,44,154
glm-5.3-flash,Kaleh,"""Kaleh"" dalam bahasa Jawa berarti ""dan"" atau ""dengan"" dalam bahasa Indonesia.",0,0.2166,0.7605,0.1831,4,,7787,8.215e-05,42,316
glm-5.3-flash,Kemecer,**Kemecer** artinya tercecer atau berserakan (misalnya: barang-barangnya kemecer = barang-barangnya tercecer).,0,0.1499,0.5568,0.1678,4,,13688,0.0002138,42,415
glm-5.3-flash,Kesawat,Kesawat berarti disambar atau tersambar petir.,0,0.4666,0.9879,0.3229,3,,7867,5.5725e-05,43,210
glm-5.3-flash,Kesuen,"**Kesuen** (kesuwun) dalam bahasa Jawa berarti **""terima kasih""** dalam bahasa Indonesia.",0,0.0483,0.1893,0.0712,5,,22475,0.00012315,42,480
